diversity,aluminum,organic C,potasium,ammonia,nitrate,total_nitrogen,pH,siica,sulfate,turbidity,shade,mean annual flow
0.03738453,0.004,13.33,17.34,0.023,0.18829,1173,8.7,1.642,800.26,15.18,0.802139037,0.369823068
0.126611018,0.0062,4.1,0.933,0.007,0.00155,540,8.45,11.303,2.55,16.45,0,0
0.130639955,0.0043,1.51,1.197,0.032,0.03841,154,7.19,11.053,2.92,6.82,99.19786096,0
0.102459655,0.005,8.06,11.11,0.021,0.01195,691,8.03,11.677,215.62,51.39,14.43850267,0.354159964
0.172843628,0.0051,6.14,2.325,0.026,0.01284,512,8.11,1.906,4.16,4.16,53.34224599,0.360180151
0.08703951,0.0023,2.91,3.397,0.023,0.25577,636,8.4,5.677,110.54,6.82,60.92436975,0.384300388
0.238775737,0.0479,6.81,0.357,0.013,0.03742,318,7.67,5.765,1.56,6.02,75.13368984,0.354300468
0.063361157,8.00E-04,2.05,0.528,0.017,0.03115,136,8.21,8.98,20.37,1.71,60.02673797,0.408363391
0.093271186,8.00E-04,2.08,1.583,0.007,0.08496,277,7.73,6.501,9.49,2.96,98.39572193,0
0.150133556,0.0693,10.05,0.236,0.007,0.01061,133,7.39,3.162,1.54,1.87,54.04411765,0.525629911
0.064017807,5.00E-04,3.3,1.355,0.001,0.00063,226,8.43,8.336,65.56,1.51,6.016042781,0.356709113
0.135464663,0.005,3.91,2.851,0.012,1.16117,1799,7.85,6.114,6.77,10.8,14.57219251,0.392643135
0.073795214,3.00E-04,0.74,4.118,0.012,0.91833,1086,8.66,35.874,36.21,9.53,98.39572193,0.359670838
0.04837507,0.005,15.37,9.911,0.031,0,1026,8.17,14.298,761.28,1.82,44.38502674,0.35387432
0.158258208,3.00E-04,4.29,21.3,0.012,2.16911,3388,8.47,44.408,105.14,56.39,0.534759358,0.44017191
0.157150807,3.00E-04,4.54,4.595,0.027,0.80007,1349,8.47,12.69,18.21,19.2,93.85026738,0
0.12196995,0.0062,1.02,0.839,0.001,0.00337,44,7.35,27.601,0.4,0.09,73.79679144,0
0.147863105,0.0028,2.56,6.237,0.007,2.60915,3470,8.27,14.371,152.52,25.48,0,0
0.105620479,0.003,2.91,5.5,0.004,0,369,8.65,32.783,39.14,4.92,0,0.449250412
0.054858097,0.005,7.67,2.779,0.056,1.02894,1663,7.99,12.22,68.45,4.64,72.32620321,0
0.320072343,0.0169,1.08,0.891,0.014,0.12301,321,7.72,5.925,2.34,5.33,68.44919786,0.40017807
0.12801892,0.005,2.33,1.705,0.015,2.94335,3844,8.37,17.105,40.31,32.38,22.45989305,0.496404789
0.189966611,0,3.87,10.3,0.014,0.15129,1061,8.25,5.981,1348.32,11.16,0,0
0.042003339,3.00E-04,9.15,25.93,0.024,0.2338,1195,8.35,18.792,289.64,14,18.31550802,0.364554763
0.051469115,0.0374,2.95,0.514,0.007,0.21396,336,7.97,8.489,1.3,5.11,85.88235294,0.436568518
0.043528102,3.00E-04,2.46,16.78,0.017,0.00113,237,8.31,5.964,856.92,6.37,0.401069519,0.376804977
0.062389378,0.0058,1.9,3.503,0.03,0.66711,912,8.13,5.548,29.72,6.12,65.50802139,0.372388126
0.558681135,0.0033,6.8,3.069,0.003,0.54476,847,7.56,9.496,27,3.77,73.39572193,0.353931598
0.102943795,0.0806,11.58,0.923,0.014,0.83381,1177,7.99,7.399,21.22,3.32,97.32620321,1.87917987
0.319730227,0.1604,38.64,2.81,0.045,0.17389,1789,6.73,7.529,8.99,2.97,54.14438503,0.395786391
0.196803197,3.00E-04,1.9,1.263,0.009,0.00143,269,8.32,20.39,5.79,3.87,3.07486631,0
0.179543684,0.0092,3.78,5.997,0.02,1.72501,2149,8.09,21.444,20.58,3.35,68.18181818,0.357771909
0.050016694,0.005,1.53,1.974,0.016,0.12841,345,7.94,11.392,1308.15,2.55,0.267379679,0.377006808
0.116599889,0.005,2.86,0.42,0.034,0.0254,236,6.36,7.561,0.43,21.34,98.52941176,0.356649818
0.061224263,0.005,6.1,1.951,0.012,0,617,8.08,5.212,66.84,4.27,21.92513369,0.356159239
0.06589872,0.0151,2.17,0.812,0.012,0.05658,218,7.85,16.614,4.77,5.82,50.80213904,0
0.079638286,0.0063,2.97,2.154,0.154,1.54847,1858,7.53,7.389,11.97,1.8,53.60962567,0.538634307
0.025336672,0.0075,2.37,2.161,0.023,0.00588,177,7.71,17.266,1.41,15.68,10.29411765,0.356747864
0.037985531,0.0208,3.63,1.889,0.168,0.43143,901,7.39,6.097,7.3,0.85,85.42780749,1.730870241
0.075342237,0.0076,1.37,1.684,0.011,0.47554,672,7.94,31.237,4.13,5.31,99.19786096,0
0.10164719,0.005,3.94,0.884,0.036,1.56474,1884,8.12,16.692,5.27,7.23,87.96791444,0
0.035258765,0.0167,31.2,0.39,0.05,0.00452,1048,7.77,12.412,0.37,4.19,52.13903743,0.362525289
0.0660601,0.005,1.04,4.356,0.015,0.20931,454,8.31,31.117,75.46,22.26,15,0
0.229705064,0.01,1.82,1.328,0.012,0.45337,621,7.69,5.079,10.03,2.43,51.47058824,0.362318731
0.036188091,0,5.28,3.587,0.006,0.00038,438,8.27,7.045,140.04,9.94,7.887700535,0.353585399
0.123811909,0,7.21,7.447,0.006,0.19246,863,8.37,15.04,339.37,20.39,0.401069519,0.381605251
0.109944352,0.0019,6.78,3.762,0.025,1.78662,2775,8.26,7.669,38.4,19.9,68.85026738,0
0.198052309,0.005,1.03,1.557,0.004,0.02503,94,8.23,16.862,9.35,0.67,3.06372549,0.369748225
0.211791875,0.0052,2.26,2.449,0.011,1.98315,2367,7.55,6.3,22.69,5.63,79.67914439,0.354046844
0.105559265,0.0136,1.51,0.857,0.011,0.00113,275,7.84,18.562,2.75,14.13,0,0.358844791
0.136438509,0.0062,13.02,4.221,0.308,0.44568,1368,7.8,6.723,1.81,14.23,61.09625668,0
0.43130217,0,0.9,4.041,0.013,1.80599,1782,8.02,24.416,110.35,0.48,6.550802139,0.355581465
0.070812465,0.007,2.62,0.652,0.009,0.18741,503,7.71,4.685,5.72,5.48,83.67647059,0.355356773
0.053864641,0.005,4.03,6.799,0.017,0.52565,1143,8.35,9.773,185.36,9.25,62.29946524,0
0.045485608,0.0092,3.99,1.292,0.006,0,530,7.36,7.251,5.52,5.63,55.21390374,0
0.111558152,5.00E-04,4.3,3.766,0.061,0.84233,1406,8,28.857,1261.46,16.66,26.73796791,0
0.416054535,0.0024,0.89,0.704,0.001,0.13082,267,7.11,5.453,6.18,1.66,100,0.354039756
0.03589872,0.0146,1.51,2.705,0.025,6.95317,7200,7.14,18.607,4.82,4.14,94.11764706,0.362723198
0.077133684,0.005,7.55,7.042,0.024,0,1312,7.96,16.946,246.8,22.42,63.5026738,0
0.165392321,0.0054,3.54,0.808,0.018,0.0924,349,8.36,7.844,11.61,1.46,28.74331551,0.542259464
0.246933779,0,2.33,1.469,0.014,0.41364,671,8.41,6.945,6.22,1.41,51.3368984,0.362657516
0.048853645,0.0027,2.38,2.738,0.003,0,312,8.35,9.959,86.27,17.27,0,0
0.034416671,0.0122,3.61,2.298,0.034,0.05886,275,7.56,16.191,3.69,2.39,41.84491979,0.515468806
0.148753478,0.0468,3.91,0.276,0.014,0.10115,208,7.04,4.537,2.27,1.44,39.43850267,0.434732457
0.035075125,3.00E-04,1.18,0.923,0.01,0.85051,1106,8.5,14.638,19.2,0.51,0,0.354955261
0.086933779,0,4.97,1.865,0.014,0.00483,208,8.2,12.862,28.32,1.75,85.42780749,0
0.050634391,0.0103,2.02,0.944,0.047,0.0543,245,6.94,14.033,0.75,15.75,91.44385027,0.357438754
0.456432944,0,1.7,5.416,0.006,0.54876,822,7.79,23.823,331.8,48.1,42.11229947,0
0.132804674,0.0031,1.69,1.748,0.026,1.61344,1733,6.58,20.403,6.21,4.08,20.73529412,0.354066869
0.139860879,0.0039,2.42,4.828,0.01,0,353,8.6,25.742,33.42,6.46,0,0.449244531
0.137996661,0.0198,1.49,2.003,0.01,0.21832,404,8.21,5.609,4.98,2.11,52.80748663,0.413457405
0.109159711,0.0574,5.14,6.626,0.015,0,730,8.38,0.046,806.69,204.12,6.818181818,0.37868612
0.068614357,0.0014,4.09,3.611,0.011,0.80714,1295,7.78,10.712,27.33,3.53,42.37967914,0.355738474
0.075759599,0.156,26.52,0.13,0.037,0.00846,817,6.64,3.379,0.15,1.1,39.30481283,0
0.051035058,0.0022,8.99,0.948,0.013,0.19121,779,8.19,17.3,7.73,4.62,47.72727273,0.48935843
0.164741641,0.0069,5.19,5.384,0.04,0.18625,803,7.86,12.338,55.66,8.95,72.72727273,0
0.216694491,0,5.77,4.286,0.01,0,657,8.48,11.837,160.22,110.64,0,0
0.030617696,0.0057,1.76,7.305,0.001,0.03783,142,7.96,8.644,129.13,1.23,8.155080214,0.363425117
0.130222593,3.00E-04,0.82,0.856,0.01,0.07283,206,8.36,12.092,2.64,2.92,23.52941176,0
0.049120757,0,3.44,0.794,0.016,0.28131,627,8.12,16.578,3.1,1.5,7.085561497,0.394802909
0.424156928,0.01,4.71,4.222,0.01,0.87764,2051,8.51,0.392,57.66,43.44,74.3315508,1.312573271
0.094351697,0.005,4.61,4.258,0.046,0.36489,894,8.11,16.382,30.65,10.85,98.6631016,0.355003036
0.633116305,0.0012,2.72,14.54,0.016,0.07432,354,8.16,13.211,1586.74,72.58,5.213903743,0.356017873
0.090419661,0.0253,1.83,1.022,0.003,0.00895,129,6.71,6.882,7.65,1.52,66.04278075,0.524436064
0.087924318,0.0079,0.94,0.816,0.006,0.25304,392,7.04,9.129,0.57,3.17,70.72192513,0.388162548
0.053661658,7.00E-04,5.8,4.206,0.053,1.63154,2363,8.14,11.247,58.55,4.48,77.40641711,0.424919992
0.115114079,3.00E-04,6.82,2.142,0.015,0.25595,869,8.48,6.425,17.88,3.85,34.75935829,0
0.121446856,9.00E-04,2.65,4.048,0.007,0.04831,258,8.42,4.731,152.28,4.08,5.748663102,0
0.203884252,0.0196,1.59,2.89,0.032,1.91298,2059,7.47,28.747,7.18,8.44,71.25668449,0
0.05869783,3.00E-04,3.97,1.786,0.025,1.2928,1799,8.31,9.086,37.59,3.73,40.50802139,0
0.062070117,0,3.24,13.32,0.008,0.00348,683,7.94,46.113,26.27,1.91,9.22459893,0.35422373
0.465041736,0.0014,0.41,0.246,0.009,0.05805,119,7.99,18.938,1.34,0.296,97.45989305,0
0.123845298,6.00E-04,7.91,12.65,0.017,0,1000,8.34,23.509,86,19.31,54.81283422,0.459803928
0.055555556,0.0117,1.13,0.935,0.006,0.00576,105,7.89,13.236,2.14,0.975,84.89304813,0
0.153599556,0.005,0.63,0.633,0.005,0,51,7.64,20.255,5,7.05,43.62745098,0.578763234
0.100027824,0,6.46,7.168,0.024,0.91584,1722,8.3,21.513,240.52,12.05,13.10160428,0.357554319
0.075431274,0.0101,1.75,1.4,0.016,0.0812,143,7.75,27.509,1.15,8.01,84.62566845,0.354778028
0.04624374,0,2.84,3.707,0.02,1.12494,1351,8.12,4.133,111.66,1.64,40.80882353,0.415835632
0.152816318,0.005,2.19,1.77,0.054,0.04864,224,6.2,10.053,3.44,38.38,98.6631016,0.353813541
0.064853205,0.005,9.32,20.11,0.037,7.88723,9038,8.48,6.037,1149.81,10.51,16.97860963,0.378734727
0.034741235,0.0121,6.83,2.398,0.126,0.01296,1069,8.2,30.646,2.14,5.09,13.5026738,0.3568562
0.062737896,0.0071,3.32,1.294,0.006,0.00037,366,7.21,6.387,2.66,4.88,61.4973262,0.499946273
0.127623817,0.0732,3.56,0.39,0.002,0.0148,141,7.18,8.715,2.45,2.73,19.78609626,0.367477145
0.443917641,0.0011,1.86,0.966,0.009,0,146,8.49,17.408,20,7.18,15.10695187,0.371424605
0.268508625,0.0147,0.84,1.179,0.008,0.86022,958,8.4,18.833,38.26,0.44,32.88770053,0.364878877
0.105648303,0.0031,4.98,2.546,0.088,0.77253,1536,8.37,10.643,28.31,18.71,24.44852941,6.326200025
0.773638564,0.0557,3.05,1.378,0.013,0.07392,201,7.51,5.374,3.7,0.47,58.42245989,0.358010683
0.28705064,0.0501,13.72,2.259,0.054,0.13855,831,7.15,9.087,5.04,4.28,54.41176471,0.75263861
0.129654981,0.005,6.22,7.905,0.051,0.21535,1759,8.72,10.014,173.52,7.4,0,0
0.750701169,0.0131,2.7,0.51,0.015,0.01671,83,8.06,5.061,2.8,3.89,31.00490196,0.363046792
0.087176477,0.0094,4.89,1.616,0.018,0.14435,1096,8.08,10.577,58.04,489.11,38.63636364,1.268525382
0.167067334,0.0062,6.48,2.038,0.102,0.05917,473,7.63,21.279,1.42,14.06,87.1657754,0
0.224774624,0.0043,2.93,10.9,0.02,2.00714,2656,8.16,39.708,139.24,34.59,6.951871658,0.437311843
0.053177518,0,4.04,9.833,0.074,4.30302,5088,7.95,31.316,59.36,174.89,6.016042781,0.369804343
0.235407654,0.0052,5.08,3.632,0.022,0.27065,761,7.98,12.175,15.01,8.58,90.37433155,0.373942279
0.514791319,0.0106,1.83,0.73,0.007,0.0753,231,8.14,7.38,12.22,4.16,56.4171123,-1.201386439
0.314418475,0.0121,0.56,0.147,0.003,0,90,7.91,15.967,0.88,0.07,88.63636364,0
0.046867001,0.0321,9.56,5.202,0.798,0.03747,1608,7.53,4.016,1.61,19.62,99.06417112,0
0.103528102,0.0062,2.53,7.058,0.012,1.22088,1795,8.35,7.672,142.47,11.04,68.44919786,1.601457178
0.111552588,0.0069,7.02,8.881,0.022,0,1019,8.25,17.925,184.37,24.98,29.67914439,0.431413389
0.197334321,0.144,8.53,11.04,0.018,0,568,8.55,12.282,684.32,116.8,0.267379679,0.406224954
0.118586533,0.0123,10.38,0.592,0.017,0.03529,574,7.24,7.575,2.89,2.07,51.3368984,0.529435873
0.096661102,0.3717,10.92,2.128,0.286,0.00639,1194,7.06,3.044,2.01,14.7,80.21390374,0.353783126
0.098402894,3.00E-04,2.18,6.86,0.022,0.01294,303,8.06,5.833,1637.85,7.48,56.14973262,0.354389044
0.198091263,0.0205,2.61,1.205,0.055,0.13368,422,7.25,18.263,1.65,4.56,70.58823529,0
0.039026155,3.00E-04,4.37,0.671,0.014,0.03056,390,8.57,7.138,5.87,3.14,22.32620321,0.441684621
0.168046745,0.005,0.45,0.229,0.01,0.1092,116,7.44,20.058,1.52,0.09,65.68627451,0.360842043
0.081246522,3.00E-04,24.72,15.91,0.065,0.19006,1844,9.43,6.237,940.78,4.95,4.010695187,0.358326503
0.121914302,0.0055,2.69,1.074,0.004,0.00044,209,7.96,26.392,3.47,2.52,1.203208556,0.691930808
0.11995506,0.0054,1.87,1.759,0.009,0.15754,563,8.65,0.656,12.34,4.73,42.13406293,0.70226069
0.021697273,0.005,3.51,5.865,0.0323,0.04928,492,8.27,9.161,182.38,17.27,19.9197861,0
0.088296248,0,3.5,14.5,0.012,0.01217,394,8.08,14.888,1047.69,407.03,0,0.419421179
0.040773933,0.0591,6.19,1.374,0.044,0.56632,968,6.84,10.638,6.82,1.39,74.59893048,0.435620797
0.118614443,0.0258,5.76,3.805,0.114,0.32559,1007,7.55,19.661,3.91,21.85,95.45454545,0
0.104513077,0,3.26,0.927,0.021,0.02529,288,8.31,13.872,27.79,6.54,19.70588235,0.361387933
0.158907469,0.0126,0.89,0.979,0.006,0.02097,63,7.07,14.185,1.51,0.29,99.59893048,0
0.463205342,0.0437,8.61,0.194,0.01,0.01457,384,7.17,3.136,1.51,3.56,43.04812834,0.358250728
0.126816917,0.0616,5.65,0.79,0.013,0.09143,358,7.7,6.605,3.62,4.93,59.35828877,1.270083736
0.212491915,0.0638,5.63,0.466,0.007,0.19102,308,7.54,8.878,3.94,1.14,62.29946524,0
0.233663717,0,8.68,31.86,0.075,9.72924,10222,7.71,11.829,1050.62,49.06,46.79144385,0.381197797
0.218664441,0.0281,2.78,1.047,0.005,0.01558,150,7.16,6.357,4.17,2.67,41.57754011,0.484915058
0.31081803,0.0363,3.63,0.802,0.014,0.0703,181,7.55,5.279,3.87,0.75,0,0.372386022
0.064418475,0.002,0.27,0.785,0.011,0.08423,144,7.94,7.486,3.29,4.61,6.951871658,0.550956805
0.277473567,0.0037,4.74,1.507,0.016,0.00452,298,8.28,7.48,27.89,2.96,1.737967914,0.607328076
0.132657551,0.0098,2.91,3.922,0.071,0.76315,1303,8.08,2.766,33.93,16.26,47.72727273,0
0.036721899,0,2.63,2.696,0.225,0.12241,695,7.67,12.396,6.01,36.4,31.55080214,0.429273417
0.059860879,0.0012,1.64,2.802,0.005,0.06937,216,7.9,6.639,12.72,3.8,98.6631016,0.354447731
0.048391764,3.00E-04,1.47,1.763,0.012,0.21067,362,8.27,10.371,13.4,16.1,30.0802139,0.356531126
0.097440178,0.0025,2.58,2.125,0.051,2.83933,3450,7.96,6.209,27.24,7.51,33.02139037,0
0.308330551,0.1904,18.96,2.349,1.821,1.82734,7356,6.47,9.569,32.35,41.1,93.85026738,0
0.046911519,0.0226,1.38,1.525,0.006,0,94,7.98,34.677,9.58,2.16,26.20320856,0.373847008
0.051386578,0.0016,14.58,20.9,0.025,0,994,8.59,0.199,875.7,10.44,0,0.355322061
0.05812709,0.0136,0.7,0.632,0.021,0.27757,268,6.43,8.913,0.24,3.2,95.85561497,0
0.074186102,0.0025,1.38,1.922,0.022,1.526,1646,8.08,7.925,61.57,6.75,47.86096257,0.382651717
0.058052309,0.0186,39.17,0.267,0.021,0.00286,1290,7.44,13.678,0.06,4.69,2.673796791,0
0.080436358,0.009,3.2,1.189,0.033,0.3394,603,7.08,11.946,5.49,6.35,93.98395722,0.355320405
0.043500278,0,4.69,4.67,0.076,1.45439,2271,8.16,17.764,18.18,39.76,77.67379679,0
0.130784641,0.0028,1.96,2.2,0.078,0.31185,737,7.95,3.242,54.05,13.2,75.53475936,2.834785
0.084474124,0.0042,0.62,0.303,0.008,0.0066,95,7.64,11.316,0.96,0.83,45.88235294,0.745048181
0.037840846,0.0071,3.84,2.696,0.013,0.01443,316,8.11,49.112,4.56,13.08,85.16042781,0.354227212
0.387690595,0.1087,10.04,1.79,0.137,0.04181,691,7.14,1.419,1.81,10.97,46.52406417,0.685039274
0.075687257,0.0058,2.91,2.206,0.021,0.0085,358,7.35,7.618,4.78,15.07,45.62798092,0
0.040951586,0,2.41,6.039,0.007,0.31293,589,8.08,4.375,420.68,16.19,73.12834225,0.57883334
0.117501391,0.005,5.93,6.553,0.014,0,1438,8.47,7.711,95.12,30.71,8.155080214,0.498582543
0.17016138,0.005,2.06,2.14,0.005,0.39,580,8.16,2.908,6.25,0.17,58.15508021,1.230372228
0.086327212,0.0204,2.07,0.464,0.007,0.05963,286,6.6,4.452,3.9,2.76,98.03921569,0.354799848
0.080406233,0.0024,1.39,1.688,0.008,0.21636,454,7.95,20.3,5.25,1.26,6.550802139,1.055577021
0.055742905,0.005,11.71,11.14,0.013,0,651,8.29,1.159,1098.56,3.26,0,0.356807945
0.073770294,0.0051,9.3,0.898,0.015,0.00888,356,7.85,6.154,14.07,0.93,45.45454545,0.486403285
0.305781859,0.0123,1.28,0.606,0.008,0.13333,215,7.75,12.25,2.4,2.85,92.64705882,0
0.33869783,0.0972,28.8,0.597,0.048,0.07783,1066,7.84,7.523,7.04,4.5,52.54010695,0.475078866
0.052871452,0.0018,14.74,12.22,0.077,0.37269,1174,8.79,1.212,516.93,4.82,2.673796791,0.356805974
0.076800223,7.00E-04,3.3,3.019,0.01,0.21618,1258,7.68,10.964,11.02,20.04,93.31550802,0.354833807
0.094885921,3.00E-04,10.76,27.08,0.019,0,1659,8.57,12.942,290.55,32.82,0.147058824,0.423340252
0.078988003,0.0025,2.4,1.42,0.012,0.00117,138,7.66,3.032,10.92,0.79,42.9144385,0.460168916
0.12071943,0.0176,3.41,2.681,0.02,0.15413,331,7.99,2.808,9.87,8.23,36.61764706,0.384467836
0.182259321,0.0065,0.65,0.314,0.009,0.0809,176,7.72,15.212,0.61,0.965,51.20320856,0
0.175537006,0.0194,3.53,0.548,0.007,0.0023,272,8.09,5.721,8.09,14.66,29.81283422,0.369478973
0.092878952,6.00E-04,5.36,7.026,0.016,0.2427,693,8.15,10.536,61.62,18.01,99.86631016,0
0.053628269,0.0234,3.85,3.766,0.009,0.02292,484,8.15,38.035,12.19,17.14,4.812834225,0.436148673
0.093861992,3.00E-04,2.71,1.316,0.005,0.0953,261,8.55,13.787,142.59,15.8,10.96256684,0.355676862
0.04081803,0.0044,5.32,3.093,0.023,1.94389,2475,8.46,19.878,49.13,13.5,64.30481283,0.481762171
0.071847524,4.00E-04,3.83,4.149,0.252,2.61401,3825,8.3,18.505,18.13,25.06,21.65775401,0.36081273
0.106265999,0,12.99,15.28,0.028,0.01645,1024,8.17,28.16,263.87,2.11,12.1657754,0.354405313
0.070539789,0.0135,4.14,1.074,0.007,0.08735,306,7.61,10.657,3,0.2,95.88235294,0
0.09095125,0.0132,0.72,0.469,0.005,0.01316,65,6.39,8.65,2.98,4.56,90.90909091,0
0.04162493,0.0241,6.7,1.448,0.02,0.08978,553,7.11,10.584,3.6,164.44,52.00534759,0
0.054980523,0.0089,2.25,0.867,0.009,0,128,8.09,13.333,12.09,2.87,32.7540107,0.37303438
0.167301057,0.0066,1.7,1.383,0.004,0.0053,196,7.86,15.773,3.01,4.57,0.267379679,0.369208177
0.055631608,3.00E-04,1.35,0.827,0.039,9.25769,9575,8.24,16.16,16.86,8.9,19.11764706,0
0.077132004,0.001,6.55,7.159,0.039,0.37316,1387,8,16.997,83.05,364.97,18.04812834,0
0.073238731,0,3.44,3.697,0.027,1.5358,2064,8.08,20.702,33.71,0.88,26.73796791,0
0.200545353,0.0823,11.67,0.364,0.014,0.02612,406,7.66,5.562,0.85,4.41,37.29946524,0.357210626
0.22738453,0.0378,6.25,1.308,0.081,0.94615,1281,7.11,12.015,2.58,10.04,90.50802139,0
0.263837347,0.0619,10.73,6.78,1.012,0.006,1948,7.29,4.241,6.77,24.52,0.668449198,0
0.289387869,0.005,1.33,0.681,0.004,0.08998,248,8.44,30.389,8.75,0.84,97.45989305,0
0.089115192,0.0252,6.98,3.966,0.05,0.00729,749,6.8,7.939,1.3,19,55.88235294,0
0.078681135,0.242,17.08,1.103,0.253,0.00062,1214,5.52,8.853,0.6,5.33,85.16042781,0.384599884
0.04017251,0.0075,5.41,1.295,0.008,0.00459,373,8.16,15.527,15.74,6.15,18.31550802,0.362803617
0.044652002,8.00E-04,8,6.442,0.615,0.21861,3716,7.66,8.812,3.5,104.6,43.67647059,0